Sample,Time(S),CH1(V)
546,-4.454,0.390651
547,-4.453,0.390651
548,-4.452,0.387173
549,-4.451,0.381957
550,-4.45,0.378479
551,-4.449,0.373263
552,-4.448,0.369785
553,-4.447,0.36283
554,-4.446,0.354135
555,-4.445,0.343702
556,-4.444,0.333269
557,-4.443,0.322836
558,-4.442,0.308925
559,-4.441,0.295014
560,-4.44,0.279365
561,-4.439,0.265454
562,-4.438,0.251543
563,-4.437,0.232416
564,-4.436,0.220244
565,-4.435,0.201116
566,-4.434,0.185467
567,-4.433,0.171556
568,-4.432,0.155906
569,-4.431,0.141995
570,-4.43,0.126346
571,-4.429,0.114174
572,-4.428,0.102002
573,-4.427,0.0898299
574,-4.426,0.0759191
575,-4.425,0.0637472
576,-4.424,0.0533141
577,-4.423,0.0463587
578,-4.422,0.0341867
579,-4.421,0.0237536
580,-4.42,0.0167982
581,-4.419,0.00984281
582,-4.418,0.00288741
583,-4.417,-0.00406799
584,-4.416,-0.0127622
585,-4.415,-0.0179788
586,-4.414,-0.0249342
587,-4.413,-0.0336285
588,-4.412,-0.038845
589,-4.411,-0.0458004
590,-4.41,-0.0527558
591,-4.409,-0.0614501
592,-4.408,-0.0649278
593,-4.407,-0.073622
594,-4.406,-0.0823163
595,-4.405,-0.0892717
596,-4.404,-0.0962271
597,-4.403,-0.103182
598,-4.402,-0.111877
599,-4.401,-0.118832
600,-4.4,-0.124049
601,-4.399,-0.127526
602,-4.398,-0.132743
603,-4.397,-0.136221
604,-4.396,-0.136221
605,-4.395,-0.136221
606,-4.394,-0.136221
607,-4.393,-0.131004
608,-4.392,-0.127526
609,-4.391,-0.120571
610,-4.39,-0.115354
611,-4.389,-0.108399
612,-4.388,-0.0979659
613,-4.387,-0.0892717
614,-4.386,-0.0770997
615,-4.385,-0.0666666
616,-4.384,-0.0544947
617,-4.383,-0.0440616
618,-4.382,-0.0336285
619,-4.381,-0.0231954
620,-4.38,-0.0145011
621,-4.379,-0.00232914
622,-4.378,0.00462626
623,-4.377,0.0115817
624,-4.376,0.0167982
625,-4.375,0.0220148
626,-4.374,0.0272313
627,-4.373,0.0272313
628,-4.372,0.0289702
629,-4.371,0.0289702
630,-4.37,0.0272313
631,-4.369,0.0272313
632,-4.368,0.0220148
633,-4.367,0.0167982
634,-4.366,0.0115817
635,-4.365,0.00462626
636,-4.364,0.00114856
637,-4.363,-0.00928454
638,-4.362,-0.0162399
639,-4.361,-0.0231954
640,-4.36,-0.0336285
641,-4.359,-0.0423227
642,-4.358,-0.051017
643,-4.357,-0.0614501
644,-4.356,-0.0684055
645,-4.355,-0.0770997
646,-4.354,-0.085794
647,-4.353,-0.0910105
648,-4.352,-0.0944882
649,-4.351,-0.101444
650,-4.35,-0.101444
651,-4.349,-0.108399
652,-4.348,-0.108399
653,-4.347,-0.110138
654,-4.346,-0.111877
655,-4.345,-0.113616
656,-4.344,-0.115354
657,-4.343,-0.117093
658,-4.342,-0.120571
659,-4.341,-0.124049
660,-4.34,-0.127526
661,-4.339,-0.132743
662,-4.338,-0.139698
663,-4.337,-0.144915
664,-4.336,-0.15187
665,-4.335,-0.162303
666,-4.334,-0.172737
667,-4.333,-0.18317
668,-4.332,-0.19708
669,-4.331,-0.209252
670,-4.33,-0.219685
671,-4.329,-0.235335
672,-4.328,-0.247507
673,-4.327,-0.261418
674,-4.326,-0.271851
675,-4.325,-0.287501
676,-4.324,-0.297934
677,-4.323,-0.310106
678,-4.322,-0.3188
679,-4.321,-0.327494
680,-4.32,-0.33445
681,-4.319,-0.339666
682,-4.318,-0.343144
683,-4.317,-0.346622
684,-4.316,-0.350099
685,-4.315,-0.350099
686,-4.314,-0.350099
687,-4.313,-0.350099
688,-4.312,-0.350099
689,-4.311,-0.350099
690,-4.31,-0.346622
691,-4.309,-0.346622
692,-4.308,-0.344883
693,-4.307,-0.344883
694,-4.306,-0.341405
695,-4.305,-0.339666
696,-4.304,-0.337927
697,-4.303,-0.337927
698,-4.302,-0.337927
699,-4.301,-0.33445
700,-4.3,-0.336188
701,-4.299,-0.332711
702,-4.298,-0.332711
703,-4.297,-0.332711
704,-4.296,-0.332711
705,-4.295,-0.329233
706,-4.294,-0.325755
707,-4.293,-0.325755
708,-4.292,-0.320539
709,-4.291,-0.317061
710,-4.29,-0.313583
711,-4.289,-0.310106
712,-4.288,-0.304889
713,-4.287,-0.297934
714,-4.286,-0.292717
715,-4.285,-0.285762
716,-4.284,-0.278806
717,-4.283,-0.270112
718,-4.282,-0.263157
719,-4.281,-0.254463
720,-4.28,-0.245768
721,-4.279,-0.237074
722,-4.278,-0.230119
723,-4.277,-0.219685
724,-4.276,-0.21273
725,-4.275,-0.204036
726,-4.274,-0.195342
727,-4.273,-0.190125
728,-4.272,-0.18317
729,-4.271,-0.176214
730,-4.27,-0.169259
731,-4.269,-0.162303
732,-4.268,-0.158826
733,-4.267,-0.15187
734,-4.266,-0.148393
735,-4.265,-0.141437
736,-4.264,-0.136221
737,-4.263,-0.131004
738,-4.262,-0.125788
739,-4.261,-0.120571
740,-4.26,-0.117093
741,-4.259,-0.113616
742,-4.258,-0.110138
743,-4.257,-0.110138
744,-4.256,-0.10666
745,-4.255,-0.101444
746,-4.254,-0.101444
747,-4.253,-0.101444
748,-4.252,-0.101444
749,-4.251,-0.101444
750,-4.25,-0.0997048
751,-4.249,-0.103182
752,-4.248,-0.103182
753,-4.247,-0.103182
754,-4.246,-0.103182
755,-4.245,-0.0997048
756,-4.244,-0.101444
757,-4.243,-0.0997048
758,-4.242,-0.0979659
759,-4.241,-0.0962271
760,-4.24,-0.0962271
761,-4.239,-0.0910105
762,-4.238,-0.0875328
763,-4.237,-0.0840551
764,-4.236,-0.0770997
765,-4.235,-0.0701443
766,-4.234,-0.0614501
767,-4.233,-0.0527558
768,-4.232,-0.0440616
769,-4.231,-0.0336285
770,-4.23,-0.0214565
771,-4.229,-0.00928454
772,-4.228,0.00288741
773,-4.227,0.0150594
774,-4.226,0.0289702
775,-4.225,0.0411421
776,-4.224,0.0567918
777,-4.223,0.065486
778,-4.222,0.0811357
779,-4.221,0.0898299
780,-4.22,0.102002
781,-4.219,0.110696
782,-4.218,0.11939
783,-4.217,0.126346
784,-4.216,0.133301
785,-4.215,0.136779
786,-4.214,0.141995
787,-4.213,0.147212
788,-4.212,0.145473
789,-4.211,0.15069
790,-4.21,0.147212
791,-4.209,0.143734
792,-4.208,0.138518
793,-4.207,0.13504
794,-4.206,0.129824
795,-4.205,0.122868
796,-4.204,0.114174
797,-4.203,0.10548
798,-4.202,0.0985242
799,-4.201,0.0880911
800,-4.2,0.0828745
801,-4.199,0.0741803
802,-4.198,0.0707026
803,-4.197,0.0637472
804,-4.196,0.0602695
805,-4.195,0.0585306
806,-4.194,0.0585306
807,-4.193,0.0567918
808,-4.192,0.0620083
809,-4.191,0.0620083
810,-4.19,0.0689637
811,-4.189,0.0741803
812,-4.188,0.077658
813,-4.187,0.0863522
814,-4.186,0.0950465
815,-4.185,0.100263
816,-4.184,0.107218
817,-4.183,0.114174
818,-4.182,0.121129
819,-4.181,0.124607
820,-4.18,0.131562
821,-4.179,0.133301
822,-4.178,0.138518
823,-4.177,0.138518
824,-4.176,0.141995
825,-4.175,0.143734
826,-4.174,0.143734
827,-4.173,0.143734
828,-4.172,0.141995
829,-4.171,0.138518
830,-4.17,0.138518
831,-4.169,0.13504
832,-4.168,0.131562
833,-4.167,0.131562
834,-4.166,0.128085
835,-4.165,0.124607
836,-4.164,0.124607
837,-4.163,0.121129
838,-4.162,0.117652
839,-4.161,0.114174
840,-4.16,0.110696
841,-4.159,0.110696
842,-4.158,0.107218
843,-4.157,0.103741
844,-4.156,0.103741
845,-4.155,0.103741
846,-4.154,0.103741
847,-4.153,0.103741
848,-4.152,0.103741
849,-4.151,0.107218
850,-4.15,0.108957
851,-4.149,0.112435
852,-4.148,0.112435
853,-4.147,0.117652
854,-4.146,0.121129
855,-4.145,0.124607
856,-4.144,0.129824
857,-4.143,0.133301
858,-4.142,0.136779
859,-4.141,0.141995
860,-4.14,0.145473
861,-4.139,0.148951
862,-4.138,0.148951
863,-4.137,0.15069
864,-4.136,0.15069
865,-4.135,0.148951
866,-4.134,0.148951
867,-4.133,0.143734
868,-4.132,0.136779
869,-4.131,0.129824
870,-4.13,0.122868
871,-4.129,0.112435
872,-4.128,0.102002
873,-4.127,0.0898299
874,-4.126,0.0793968
875,-4.125,0.0689637
876,-4.124,0.0567918
877,-4.123,0.0480975
878,-4.122,0.0359256
879,-4.121,0.0254925
880,-4.12,0.0167982
881,-4.119,0.00462626
882,-4.118,-0.00232914
883,-4.117,-0.0110234
884,-4.116,-0.0179788
885,-4.115,-0.0231954
886,-4.114,-0.0284119
887,-4.113,-0.0301508
888,-4.112,-0.0353673
889,-4.111,-0.0353673
890,-4.11,-0.0301508
891,-4.109,-0.0284119
892,-4.108,-0.0231954
893,-4.107,-0.0162399
894,-4.106,-0.00928454
895,-4.105,0.00288741
896,-4.104,0.0133205
897,-4.103,0.030709
898,-4.102,0.0463587
899,-4.101,0.0620083
900,-4.1,0.0828745
901,-4.099,0.102002
902,-4.098,0.124607
903,-4.097,0.145473
904,-4.096,0.168078
905,-4.095,0.187206
906,-4.094,0.209811
907,-4.093,0.230677
908,-4.092,0.253282
909,-4.091,0.275887
910,-4.09,0.296753
911,-4.089,0.319358
912,-4.088,0.345441
913,-4.087,0.368046
914,-4.086,0.39239
915,-4.085,0.418473
